Locality,City,Project Name,Price (INR),Price/SqFt,Area (SqFt),BHK,Bathrooms,Property Type,Furnishing,Floor,Total Floors,Listed By,Posted On,Source,Scraped At
Abids,Hyderabad,N/A,"₹19.5 Cr₹14,444 /sqft13,500 sqft(1,254 sqm)Plot AreaPlot/LandReady To Move",N/A,"13,500 sqft(1,254 sqm)Plot Area",N/A,N/A,N/A,N/A,N/A,N/A,1mo agoOwner,N/A,99acres.com,2026-02-24 23:51:37
Abids,Hyderabad,N/A,"₹19.5 Cr₹14,444 /sqft",N/A,"13,500 sqft(1,254 sqm)Plot Area",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹19.5 Cr₹14,444 /sqft",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,₹19.5 Cr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,N/A,N/A,"13,500 sqft",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,N/A,N/A,Plot/Land,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹65 Lac₹7,222 /sqft900 sqft(84 sqm)Carpet Area2 BHK(2 Baths)Ready To Move",N/A,900 sqft(84 sqm)Carpet Area,2 BHK Flat,N/A,2 BHK Flat,N/A,N/A,N/A,2mo agoOwner,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,N/A,N/A,N/A,2 BHK Flat,N/A,2 BHK Flat,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹65 Lac₹7,222 /sqft",N/A,900 sqft(84 sqm)Carpet Area,2 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹65 Lac₹7,222 /sqft",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,₹65 Lac,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,N/A,N/A,900 sqft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,N/A,N/A,2 BHK,2 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹45 Lac₹4,500 /sqft1,000 sqft(93 sqm)Built-up Area2 BHK(2 Baths)Ready To Move",N/A,"1,000 sqft(93 sqm)Built-up Area",2 BHK Flat,N/A,2 BHK Flat,N/A,N/A,N/A,1mo agoOwner,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹45 Lac₹4,500 /sqft",N/A,"1,000 sqft(93 sqm)Built-up Area",2 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹45 Lac₹4,500 /sqft",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,₹45 Lac,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,N/A,N/A,"1,000 sqft",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹60 Lac₹6,315 /sqft950 sqft(88 sqm)Carpet Area2 BHK(2 Baths)Ready To Move",N/A,950 sqft(88 sqm)Carpet Area,2 BHK Flat,N/A,2 BHK Flat,N/A,N/A,N/A,2mo agoOwner,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹60 Lac₹6,315 /sqft",N/A,950 sqft(88 sqm)Carpet Area,2 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹60 Lac₹6,315 /sqft",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,₹60 Lac,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,N/A,N/A,950 sqft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹80 Lac₹8,000 /sqft1,000 sqft(93 sqm)Carpet Area2 BHK(2 Baths)Ready To Move",N/A,"1,000 sqft(93 sqm)Carpet Area",2 BHK Independent Builder Floor,N/A,N/A,N/A,N/A,N/A,6mo agoOwner,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,N/A,N/A,N/A,2 BHK Independent Builder Floor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹80 Lac₹8,000 /sqft",N/A,"1,000 sqft(93 sqm)Carpet Area",2 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹80 Lac₹8,000 /sqft",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,₹80 Lac,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:38
Abids,Hyderabad,N/A,"₹65 Lac₹6,770 /sqft960 sqft(89 sqm)Carpet Area2 BHK(2 Baths)Ready To Move",N/A,960 sqft(89 sqm)Carpet Area,2 BHK Flat,N/A,2 BHK Flat,N/A,N/A,N/A,7mo agoOwner,N/A,99acres.com,2026-02-24 23:51:39
Abids,Hyderabad,N/A,"₹65 Lac₹6,770 /sqft",N/A,960 sqft(89 sqm)Carpet Area,2 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:39
Abids,Hyderabad,N/A,"₹65 Lac₹6,770 /sqft",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:39
Abids,Hyderabad,N/A,N/A,N/A,960 sqft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99acres.com,2026-02-24 23:51:39
Abids,Hyderabad,N/A,"₹38 Lac₹7,600 /sqft600 sqft(56 sqm)Plot Area1 BHK(2 Baths)Ready To Move",N/A,600 sqft(56 sqm)Plot Area,1 BHK,N/A,N/A,N/A,N/A,N/A,7mo agoOwner,N/A,99acres.com,2026-02-24 23:51:39
